LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID18585,18585,0,286.0,27.553030303030305,50.07808857808858,0.0,0.0,0,9.541311620975605,1,,1591.4652777777778,440.0,60.0,16067.0,458342.0,2829.3757918686706,0.9543989814198093,0.5493552376859585,0.10461404201040655,0.016941716482673175,14.18117581628859,6.913459215839029,1.9068777696966366,2.0512416973255463,286.0,71.20163845104264,0.7089178671268813,0.9549248747913188,4.210241143083442
ID18584,18584,0,288.0,27.344290657439448,50.1159169550173,0.0,1.0,1,9.591222920311859,1,,1580.3910034602077,432.0,80.0,16067.0,456733.0,2805.646082515656,0.9541525415268416,0.5500738606003585,-0.047394511902010834,0.0538469898897854,13.200887713688173,7.175151938667356,1.9667192642173832,1.839806017562881,289.00000000000006,70.31137334608003,0.7346095081233275,0.952224052718287,4.1359631380047075
ID18587,18587,0,293.0,27.355270655270655,50.114814814814814,0.0,2.0,2,9.64912647387103,1,,1601.0924657534247,451.0,89.0,16067.0,467519.0,2841.9969907093096,0.9554506010953915,0.5505340496812322,0.11212209706504762,0.1262794957801893,13.697030606077947,7.198972096177832,-1.2301098081051283,1.9026369908212513,292.50000000000006,70.45691962817038,0.7404375422326941,0.9701492537313433,4.119653758370511
ID18588,18588,0,295.0,27.493764172335602,50.1343537414966,0.0,3.0,3,9.673836185197393,1,,1585.6360544217687,436.0,91.0,16067.0,466177.0,2826.10023762399,0.9533169687594931,0.547659400826149,0.06132999964697405,-0.16632778693633013,13.317346789560164,7.441956765185802,-1.2864663972250494,1.7894953182017945,294.0,69.86079304831476,0.7569900510361898,0.9686985172981878,4.0743641903463175
ID18586,18586,0,287.0,27.722608695652173,49.94521739130435,0.0,4.0,4,9.566299821657266,1,,1622.7307692307693,461.0,84.0,16067.0,464101.0,2851.332513527501,0.9546491274092489,0.5559088274125337,-0.015084649805508386,-0.23697355645173376,13.238011079465496,7.2294637073007495,1.8589944079823735,1.8311193769597256,287.5,70.82230827763561,0.7202902866902284,0.9410801963993454,4.176871868743904
ID18603,18603,0,291.0,26.43639977285633,50.163827370812044,0.0,5.0,5,9.665606633571562,1,,1571.6101694915253,430.0,42.0,16067.0,463625.0,2823.3307597247253,0.9517535053651318,0.5428909265739961,0.03670404758769305,-0.0625782537524254,13.828888221772644,7.0623728163144195,1.895665257089286,1.9581079307831568,293.5,72.39014046299839,0.7038159926265807,0.9483037156704361,4.225473345762583
ID18589,18589,0,290.0,27.314558058925478,50.16204506065858,0.0,6.0,6,9.582922422936733,1,,1575.916955017301,432.0,78.0,16063.0,455440.0,2807.8306028798233,0.95521215996209,0.5484011709640989,0.16844566888431323,-0.06779267151611845,13.203495714642044,7.3921594430049655,-1.2070843916143197,1.786148664195307,288.50000000000006,69.90951189593149,0.7417937018695413,0.9664991624790622,4.115886225707882
